,label,message,label_num,Length
247,ham,kallis wont bat in 2nd innings,0,31
269,spam,ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge,1,133
4572,spam,urgent this is the 2nd attempt to contact uu have won å£1000call 09071512432 b4 300603tcsbcm4235wc1n3xxcallcost150ppmmobilesvary maxå£7 50,1,148
3025,ham,i finished my lunch already u wake up already,0,47
1,ham,ok lar joking wif u oni,0,29
314,ham,you made my day do have a great day too,0,41
3392,ham,ok thanx,0,11
3576,ham,yeah confirmed for you staying at  that weekend,0,47
1182,ham,k give me a sec breaking a  ltgt  at cstore,0,49
3395,spam,urgent your mobile number has been awarded with a å£2000 bonus caller prize call 09058095201 from land line valid 12hrs only,1,127
3413,ham,no pic please resend,0,23
1948,ham,i cant pick the phone right now pls send a message,0,51
3932,ham,playin space poker u,0,22
2467,ham,is there coming friday is leave for pongaldo you get any news from your work place,0,84
2011,ham,do whatever you want you know what the rules are we had a talk earlier this week about what had to start happening you showing responsibility yet every week its can i bend the rule this way what about that way do whatever im tired of having thia same argument with you every week and a  ltgt  movie doesnt inlude the previews youre still getting in after 1,0,375
1364,ham,hey i will be really pretty late you want to go for the lesson first i will join you im only reaching tp mrt,0,114
501,ham,when can ì come out,0,21
212,ham,kkgoodstudy well,0,23
2498,ham,i know where the  ltgt  is ill be there around 5,0,55
5273,ham,its too latebut its kwish you the same,0,42
948,ham,chk in ur belovd ms dict,0,24
2477,ham,im done im sorry i hope your next space gives you everything you want remember all the furniture is yours if im not around when you move it just lock all the locks and leave the key with jenne,0,201
5416,ham,my slave i want you to take 2 or 3 pictures of yourself today in bright light on your cell phone bright light,0,112
2651,ham,text me when you get off dont call my phones having problems,0,63
3270,spam,you have 1 new voicemail please call 08719181513,1,50
5053,spam,double mins  double txt  12 price linerental on latest orange bluetooth mobiles call mobileupd8 for the very latest offers 08000839402 or call2optoutlf56,1,159
5557,ham,no i meant the calculation is the same that  ltgt units at  ltgt  this school is really expensive have you started practicing your accent because its important and have you decided if you are doing 4years of dental school or if youll just do the nmde exam,0,273
878,spam,u have a secret admirer who is looking 2 make contact with ufind out who they rreveal who thinks ur so specialcall on 09058094565,1,132
746,ham,i promise to take good care of you princess i have to run now please send pics when you get a chance ttyl,0,110
2414,ham,o was not into fps then,0,24
2751,ham,play w computer aiyah i tok 2 u lor,0,37
4197,spam,want to funk up ur fone with a weekly new tone reply tones2u 2 this text wwwringtonescouk the original n best tones 3gbp network operator rates apply,1,155
4311,ham,i keep ten rs in my shelf buy two egg,0,40
2824,spam,congratulations  thanks to a good friend u have won the å£2000 xmas prize 2 claim is easy just call 08712103738 now only 10p per minute btnationalrate,1,158
4804,ham,sorry for the delay yes masters,0,32
988,ham,yun ahthe ubi one say if ì wan call by tomorrowcall 67441233 look for ireneere only got bus822656166382 ubi cresubi tech park6ph for 1st 5wkg daysì¬n,0,162
2662,spam,hello darling how are you today i would love to have a chat why dont you tell me what you look like and what you are in to sexy,1,130
4381,ham,yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for by the way who is this dont know number joke,0,142
3596,spam,congratulations youve won youre a winner in our august å£1000 prize draw call 09066660100 now prize code 2309,1,115
1614,ham,me sef dey laugh you meanwhile hows my darling anjie,0,55
5149,ham,pls call me da what happen,0,28
5351,ham,yup its at paragon i havent decided whether 2 cut yet hee,0,67
1033,ham,oh mr sheffield you wanna play that game okay youre the boss and im the nanny you give me a raise and ill give you one,0,127
3627,ham,meeting u is my work   tel me when shall i do my work tomorrow,0,65
2860,ham,i am not at all happy with what you saying or doing,0,51
84,ham,yup next stop,0,14
4155,ham,yo call me when you get the chance a friend of mine wanted me to ask you about a big order,0,92
2613,ham,thanks for sending this mental ability question,0,49
2991,ham,ki didt see youkwhere are you now,0,41
4065,ham,fyi im gonna call you sporadically starting at like  ltgt  bc we are not not doin this shit,0,97
1838,spam,hack chat get backdoor entry into 121 chat rooms at a fraction of the cost reply neo69 or call 09050280520 to subscribe 25p pm dps bcm box 8027 ldn wc1n3xx,1,161
1500,ham,hostbased idps for linux systems,0,34
294,ham,i accidentally deleted the message resend please,0,50
3786,ham,whore you are unbelievable,0,27
4654,ham,our prasanth ettans mother passed away last night just pray for her and family,0,80
1672,spam,urgent we are trying to contact u todays draw shows that you have won a å£800 prize guaranteed call 09050001295 from land line claim a21 valid 12hrs only,1,158
727,ham,alright omw gotta change my order to a half8th,0,47
81,ham,k did you call me just now ah ,0,32
594,ham,i met you as a stranger and choose you as my friend as long as the world stands our friendship never ends lets be friends forever gud nitz,0,147
2188,spam,free camera phones with linerental from 449month with 750 cross ntwk mins 12 price txt bundle deals also avble call 08001950382 or call2optoutj mf,1,152
155,ham,aaooooright are you at work,0,28
4727,ham,i career tel have added u as a contact on indyarockscom to send free sms to remove from phonebook  sms no to  ltgt,0,124
149,ham,sindu got job in birla soft ,0,30
2641,spam,you are guaranteed the latest nokia phone a 40gb ipod mp3 player or a å£500 prize txt word collect to no 83355 ibhltd ldnw15h 150pmtmsgrcvd18,1,147
1180,ham,im in chennai velachery,0,26
3417,spam,life has never been this much fun and great until you came in you made it truly special for me i wont forget you enjoy  one gbpsms,1,136
4459,ham,this is wishing you a great day moji told me about your offer and as always i was speechless you offer so easily to go to great lengths on my behalf and its stunning my exam is next friday after that i will keep in touch more sorry,0,237
5033,ham,i want to go to perumbavoor,0,27
3078,ham,deep sigh  i miss you   i am really surprised you havent gone to the net cafe yet to get to me  dont you miss me,0,129
818,ham,then why you not responding,0,27
2671,ham,thats cool ill come by like  ltgt ish,0,45
854,ham,stop the story ive told him ive returned it and hes saying i should not re order it,0,88
1896,ham,i tot u outside cos darren say u come shopping of course we nice wat we jus went sim lim look at mp3 player,0,110
1932,ham,jus finished avatar nigro,0,25
1567,ham,whatever im pretty pissed off,0,31
4972,ham,oops i was in the shower when u called hey a parking garage collapsed at university hospital see im not crazy stuff like that does happen,0,142
3706,ham,aight do you still want to get money,0,36
2021,ham,i dont have anybodys number i still havent thought up a tactful way to ask alex,0,83
1954,ham,good night am going to sleep,0,30
2826,ham,oh right ok ill make sure that i do loads of work during the day  got a really nasty cough today and is dry n shot so that should really help it,0,149
1301,ham,i tot u reach liao he said tshirt,0,36
2223,spam,thanks for your ringtone order ref number k718 your mobile will be charged å£450 should your tone not arrive please call customer services on 09065069120,1,157
840,ham,i luv u soo much u donåõt understand how special u r 2 me ring u 2morrow luv u xxx,0,82
2539,ham,hmmmhow many players selected,0,32
164,spam,bangbabes ur order is on the way u should receive a service msg 2 download ur content if u do not goto wap bangb tv on ur mobile internetservice menu,1,155
663,ham,leave it de start prepare for next,0,43
2907,ham,why must we sit around and wait for summer days to celebrate such a magical sight when the worlds dressed in white oooooh let there be snow,0,142
4828,ham,how long before you get reply just defer admission til next semester,0,69
1374,spam,500 new mobiles from 2004 must go txt nokia to no 89545  collect yours todayfrom only å£1 www4tcbiz 2optout 08718726270150gbpmtmsg18 txtauction,1,154
3839,ham,hey mate hows u honeydid u ave good holiday gimmi de gossx,0,62
5543,ham,u still havent got urself a jacket ah,0,38
1685,ham,cramps stopped going back to sleep,0,35
2845,ham,wat time u finish ur lect today,0,32
5290,ham,dear where you call me,0,23
2670,ham,yes they replied my mail im going to the management office later plus will in to bank later alsoor on wednesday,0,117
1823,ham,same as u dun wan y u dun like me already ah wat u doing now still eating,0,84
1709,ham,u meet other fren dun wan meet me ah muz b a guy rite,0,59
2611,spam,knock knock txt whose there to 80082 to enter r weekly draw 4 a å£250 gift voucher 4 a store of yr choice tcs wwwtklscom age16 to stoptxtstopå£150week,1,156
4627,spam,todays voda numbers ending with 7634 are selected to receive a å£350 reward if you have a match please call 08712300220 quoting claim code 7684 standard rates apply,1,166
2652,ham,no need for the drug anymore,0,29
1020,ham,good afternoon on this glorious anniversary day my sweet j  i hope this finds you happy and content my prey i think of you and send a teasing kiss from across the sea coaxing images of fond souveniers  you cougarpen,0,224
2475,ham,mm i am on the way to railway,0,29
